,ID,Start time,Completion time,Agree to consent info,usage frequency,frequent bus taken,bus arrival wait time,MissedBusInstances,Explanation on MissedBusInstances,BusTimelinessPerception,app/website helpfulness,cleanliness_maintenance_of_buses,safety perception,value for money,additional feature/service,bus_stops_proximity,waiting activity,car_vs_bus,overall experience,survey duration (minutes)
0,1,2024-11-17 14:39,2024-11-17 14:41,,Daily,1C,5 - 10 minutes,Yes,Bus was late,Often,Yes,Good,Very safe,Yes,More frequent buses in the weekends,Yes,Using a phone or device,"No, I would prefer to drive a car",Good,1
1,2,2024-11-17 16:11,2024-11-17 16:15,,Daily,Oulette,5 - 10 minutes,Yes,,Sometimes,Yes,Good,Somewhat safe,Yes,Improved reliability,Yes,Waiting passively,"No, I would prefer to drive a car",Good,3
2,4,2024-11-19 23:03,2024-11-19 23:07,,Daily,115,Less than 5 minutes,Yes,Disappointing but I'm lucky to have another bus route to Downtown close by,Often,Yes,Average,Somewhat safe,Yes,Extended hours of operation,Yes,Using a phone or device,"No, I would prefer to drive a car",Good,4
3,5,2024-11-21 12:59,2024-11-21 13:25,,Daily,,10 - 20 minutes,Yes,I waited for one hour for the next bus,Sometimes,Yes,Excellent,Very safe,Yes,More frequent buses,Yes,Using a phone or device,"Yes, I would prefer to continue using the bus",Good,25
4,6,2024-11-21 13:25,2024-11-21 13:27,,Daily,2,More than 20 minutes,Yes,Waiting in this extreme weather effecting to health,Often,Yes,Good,Very safe,Yes,Extended hours of operation,Yes,Using a phone or device,"Yes, I would prefer to continue using the bus",Excellent,2
5,7,2024-11-21 13:31,2024-11-21 13:33,,Daily,115,More than 20 minutes,No,Bad,Sometimes,I don't use the app/website,Average,Very safe,No,More frequent buses,Not applicable,Using a phone or device,"No, I would prefer to drive a car",Average,2
6,8,2024-11-21 13:35,2024-11-21 13:35,no,,,,,,,,,,,,,,,,0
7,9,2024-11-21 13:48,2024-11-21 13:54,yes,Daily,"6, 1C, 1A, 4",More than 20 minutes,Yes,,Often,Yes,Excellent,Very safe,Yes,More frequent buses,Yes,Using a phone or device,"Yes, I would prefer to continue using the bus",Excellent,5
8,10,2024-11-21 14:09,2024-11-21 14:12,yes,Daily,8,5 - 10 minutes,No,,Often,Yes,Excellent,Very safe,Yes,More frequent buses,Yes,Socializing with others,"Yes, I would prefer to continue using the bus",Good,3
9,11,2024-11-22 13:28,2024-11-22 13:33,yes,Daily,Parent,5 - 10 minutes,Yes,,Often,Yes,Good,Very safe,No,More frequent buses,Yes,Using a phone or device,"No, I would prefer to drive a car",Average,4
10,12,2024-11-22 15:34,2024-11-22 15:37,yes,Daily,1C,5 - 10 minutes,Yes,"Only very few instances it didn't come up on time , it was manageable for me as I used alternate bus on my route 1A",Often,Yes,Good,Very safe,Yes,Rash driving sometimes ,Yes,Using a phone or device,"Yes, I would prefer to continue using the bus",Good,3
11,13,2024-11-26 9:44,2024-11-26 9:46,yes,Daily,1C,5 - 10 minutes,No,,Often,Yes,Good,Very safe,Yes,More frequent busses in the weekends ,Yes,Using a phone or device,"No, I would prefer to drive a car",Good,2
12,14,2024-11-26 10:05,2024-11-26 10:06,yes,Daily,2,5 - 10 minutes,Yes,Weeknds,Often,Yes,Good,Very safe,Yes,More frequent buses,Yes,Using a phone or device,"Yes, I would prefer to continue using the bus",Good,1
13,15,2024-11-26 10:05,2024-11-26 10:13,yes,Daily,Bus number 6,5 - 10 minutes,No,,Sometimes,Yes,Average,Neutral,No,Improved reliability,No,Using a phone or device,"No, I would prefer to drive a car",Average,8
14,16,2024-11-26 10:56,2024-11-26 11:04,yes,Daily,115,10 - 20 minutes,No,,Often,Yes,Excellent,Very safe,Yes,More frequent buses,Yes,Using a phone or device,"No, I would prefer to drive a car",Excellent,8
15,17,2024-11-26 18:29,2024-11-26 18:31,yes,Daily,1C and 1A,5 - 10 minutes,Yes,Sometines bus comes to my stop earlier than it shows on transit app ,Often,Yes,Good,Very safe,Yes,More bus services on weekends ,Yes,Waiting passively,"Yes, I would prefer to continue using the bus",Good,2
16,18,2024-11-27 7:38,2024-11-27 8:41,yes,Daily,Bus 4,5 - 10 minutes,Yes,The bus sometimes skip 2 times before arriving,Often,Yes,Good,Very safe,Yes,More frequent buses,Yes,Using a phone or device,"No, I would prefer to drive a car",Good,63
17,19,2024-11-27 20:59,2024-11-27 21:01,yes,Daily,1C,5 - 10 minutes,Yes,,Often,Yes,Good,Very safe,Yes,More frequent buses,Yes,Waiting passively,"Yes, I would prefer to continue using the bus",Good,1
18,20,2024-11-28 9:40,2024-11-28 9:46,yes,Rarely,TRANSWAY 1C,5 - 10 minutes,No,,Sometimes,Yes,Good,Somewhat safe,Yes,More frequent buses,Yes,Waiting passively,"No, I would prefer to drive a car",Good,5
19,21,2024-12-03 15:36,2024-12-03 15:38,yes,Daily,"2, 8, 1C",5 - 10 minutes,Yes,,Often,No,Average,Somewhat safe,Yes,More frequent buses,Yes,Using a phone or device,"Yes, I would prefer to continue using the bus",Good,1
20,22,2024-12-03 16:25,2024-12-03 16:37,yes,Daily,Three,Less than 5 minutes,Yes,The app showed an hour but the bus didn't pass,Sometimes,Yes,Good,Somewhat safe,Yes,Better bus coordinatiom,Yes,Using a phone or device,"No, I would prefer to drive a car",Good,11
21,23,2024-12-03 19:24,2024-12-03 19:26,yes,Daily,3,5 - 10 minutes,Yes,,Often,Yes,Good,Somewhat safe,Yes,More frequent buses,Yes,Using a phone or device,"No, I would prefer to drive a car",Good,1
22,24,2024-12-03 21:07,2024-12-03 21:10,yes,A few times a week,,10 - 20 minutes,Yes,I am usually late for my appointments,Rarely,Yes,Good,Somewhat safe,No,Being on time and more frequency,Yes,Using a phone or device,"No, I would prefer to drive a car",Average,2
23,25,2024-12-03 21:28,2024-12-03 21:30,yes,Daily,14,Less than 5 minutes,Yes,Bus doesn't show up sometimes ,Often,Yes,Good,Very safe,No,Extended hours of operation,Yes,Using a phone or device,"No, I would prefer to drive a car",Good,1
24,26,2024-12-03 21:32,2024-12-03 21:35,yes,Occasionally,1C,5 - 10 minutes,No,,Often,Yes,Poor,Somewhat safe,Yes,Cleaner buses,Yes,Using a phone or device,"No, I would prefer to drive a car",Average,3
25,27,2024-12-04 13:43,2024-12-04 13:44,yes,A few times a week,115,5 - 10 minutes,No,,Always,Yes,Excellent,Very safe,Yes,More frequent buses,Yes,Using a phone or device,"Yes, I would prefer to continue using the bus",Excellent,1
26,28,2024-12-04 15:12,2024-12-04 15:16,yes,Daily,Bus 115,Less than 5 minutes,Yes,The bus didnt arrive at the time it should so I had to wait another 20 minutes for the next bus. I have experienced this 3 times,Always,Yes,Good,Somewhat safe,Yes,Extended hours of operation,Yes,Using a phone or device,"Yes, I would prefer to continue using the bus",Good,3
27,29,2024-12-04 15:25,2024-12-04 15:30,yes,Rarely,4,More than 20 minutes,Yes,The bus either came ahead of the schedule or later than scheduled ,Sometimes,No,Good,Somewhat safe,Yes,Improved reliability,No,Using a phone or device,"No, I would prefer to drive a car",Good,5
28,30,2024-12-04 17:49,2024-12-04 17:59,yes,A few times a week,Bus 4,10 - 20 minutes,Yes,Sometimes the bus come latter than the time schedule ,Sometimes,Yes,Average,Somewhat safe,Yes,Improved reliability,Yes,Socializing with others,"No, I would prefer to drive a car",Good,9
29,31,2024-12-05 17:05,2024-12-05 17:09,yes,Daily,"Bus 115, Bus 3",5 - 10 minutes,Yes,Sometimes does not arrive at the time it was supposed to.,Sometimes,Yes,Average,Somewhat safe,Yes,Extended hours of operation,Yes,Using a phone or device,"No, I would prefer to drive a car",Good,3
30,32,2024-12-05 20:13,2024-12-05 20:15,yes,Daily,1c,Less than 5 minutes,No,,Often,Yes,Good,Very safe,Yes,More frequent buses,Yes,Waiting passively,"Yes, I would prefer to continue using the bus",Good,1
31,33,2024-12-05 20:15,2024-12-05 20:16,yes,A few times a week,115,5 - 10 minutes,Yes,,Often,Yes,Excellent,Very safe,Yes,Improved reliability,Yes,Using a phone or device,"Yes, I would prefer to continue using the bus",Excellent,1
32,34,2024-12-06 5:06,2024-12-06 5:08,yes,Daily,1c,5 - 10 minutes,Yes,,Always,Yes,Good,Neutral,No,Extended hours of operation,Yes,Socializing with others,"No, I would prefer to drive a car",Good,1
33,35,2024-12-06 5:23,2024-12-06 5:24,yes,A few times a week,4,5 - 10 minutes,No,,Always,Yes,Average,Somewhat safe,Yes,Cleaner buses,No,Reading or studying,"No, I would prefer to drive a car",Good,1
34,36,2024-12-06 8:28,2024-12-06 8:29,yes,Daily,115,Less than 5 minutes,No,,Often,No,Good,Somewhat safe,Yes,More frequent buses,Yes,Waiting passively,"Yes, I would prefer to continue using the bus",Good,0
35,37,2024-12-06 8:29,2024-12-06 8:30,yes,A few times a week,4,Less than 5 minutes,Yes,,Always,Yes,Excellent,Very safe,Yes,Nothing. Everythings good,Yes,Using a phone or device,"Yes, I would prefer to continue using the bus",Excellent,0
36,38,2024-12-06 12:11,2024-12-06 12:12,yes,Daily,"8,2",5 - 10 minutes,Yes,Not live on app,Sometimes,Yes,Good,Somewhat safe,Yes,More frequent buses,Yes,Using a phone or device,"No, I would prefer to drive a car",Good,1
37,39,2024-12-06 12:12,2024-12-06 12:14,yes,Daily,115,10 - 20 minutes,Yes,,Sometimes,Yes,Good,Neutral,Yes,Extended hours of operation,No,Using a phone or device,"No, I would prefer to drive a car",Average,1
38,40,2024-12-06 12:14,2024-12-06 12:14,no,,,,,,,,,,,,,,,,0
39,41,2024-12-06 12:14,2024-12-06 12:15,yes,Daily,3,More than 20 minutes,Yes,,Rarely,Yes,Average,Neutral,No,Extended hours of operation,No,Waiting passively,"No, I would prefer to drive a car",Poor,0
40,42,2024-12-06 12:17,2024-12-06 12:18,yes,Rarely,4,10 - 20 minutes,Yes,always not on time,Rarely,Yes,Average,Neutral,No,Improved reliability,No,Using a phone or device,"No, I would prefer to drive a car",Poor,1
41,43,2024-12-06 17:35,2024-12-06 17:36,no,,,,,,,,,,,,,,,,0
42,44,2024-12-06 17:40,2024-12-06 17:44,yes,Rarely,"2,115",5 - 10 minutes,Yes,"115, 2,1c delay mostly",Sometimes,I don't use the app/website,Good,Very safe,Yes,More frequent buses,Yes,Using a phone or device,"No, I would prefer to drive a car",Average,4
43,45,2024-12-06 17:45,2024-12-06 17:48,yes,Daily,115,5 - 10 minutes,Yes,"Yes, I was waiting for the 115 bus and it didnt arrived at time. On that day I had to walk to collage in a rainfall.",Often,Yes,Good,Somewhat safe,No,Extended hours of operation,No,Waiting passively,"No, I would prefer to drive a car",Average,3
44,46,2024-12-06 17:49,2024-12-06 17:52,yes,Daily,115,5 - 10 minutes,Yes,Its more hectic dURING THE WINTER ,Sometimes,Yes,Good,Somewhat safe,Yes,More frequent buses,No,Using a phone or device,"Yes, I would prefer to continue using the bus",Good,3
45,47,2024-12-06 17:52,2024-12-06 17:52,no,,,,,,,,,,,,,,,,0
46,48,2024-12-06 17:53,2024-12-06 17:56,yes,Daily,115,10 - 20 minutes,No,,Often,Yes,Average,Somewhat safe,No,Extended hours of operation,Yes,Using a phone or device,"Yes, I would prefer to continue using the bus",Average,2
47,49,2024-12-06 17:52,2024-12-06 17:56,yes,Daily,"1c, 1a,4, 6",10 - 20 minutes,No,,Often,Yes,Average,Very safe,Yes,More frequent buses,Yes,Using a phone or device,"Yes, I would prefer to continue using the bus",Good,3
48,50,2024-12-06 17:56,2024-12-06 17:58,yes,A few times a week,115,5 - 10 minutes,No,,Always,Yes,Good,Very safe,Yes,More frequent buses,Yes,Using a phone or device,"No, I would prefer to drive a car",Good,2
49,51,2024-12-06 17:56,2024-12-06 17:59,yes,Daily,6,5 - 10 minutes,Yes,,Often,Yes,Good,Very safe,Yes,More frequent buses,Yes,Using a phone or device,"Yes, I would prefer to continue using the bus",Excellent,3
50,52,2024-12-06 17:59,2024-12-06 18:02,yes,Daily,1c and8 wakerVille,5 - 10 minutes,No,,Rarely,Yes,Good,Somewhat safe,Yes,Cleaner buses,Yes,Socializing with others,"No, I would prefer to drive a car",Good,3
51,53,2024-12-06 19:21,2024-12-06 19:30,yes,Daily,1C,5 - 10 minutes,No,,Often,Yes,Good,Somewhat safe,No,More frequent buses,Yes,Using a phone or device,"Yes, I would prefer to continue using the bus",Excellent,8
52,54,2024-12-06 21:11,2024-12-06 21:13,yes,Daily,1 C,5 - 10 minutes,Yes,It came earlier than scheduled.,Often,Yes,Good,Somewhat safe,Yes,Extended hours of operation,Yes,Waiting passively,"No, I would prefer to drive a car",Good,2
